star_name,split
10 CAS,train
10 CMA,train
105 TAU,test
11 CAM,test
11 CYG,train
12 AUR,test
12 VUL,validation
120 TAU,test
13 TAU,train
14 LAC,validation
141 TAU,validation
15 MON,test
16 PEG,train
17 SEX,validation
17 TAU,train
18 AND,train
19 MON,train
2 CET,validation
2 ORI,train
20 VUL,train
228 ERI,train
23 TAU,train
25 CYG,test
25 ORI,train
25 PEG,train
25 VUL,train
27 CMA,train
28 CYG,validation
29 DOR,train
31 PEG,train
39 CRU,validation
4 AQL,train
4 HER,train
43 ORI,train
48 LIB,train
48 PER,train
5 CNC,validation
51 OPH,validation
53 BOO,train
56 ERI,train
59 CYG,validation
60 CYG,train
64 SER,validation
66 OPH,test
69 ORI,train
7 VUL,validation
8 LAC A,test
A CEN,train
AB AUR,train
ACHERNAR,train
AG AUR,train
AG CAR,train
AG+64 187,train
AL 207,train
ALCYONE,train
ALF ARA,train
ALF COL,test
ALFIRK,train
ALS 7394,train
AN COL,validation
AS 37,train
AX MON,train
AZV 162,train
AZV 191,train
AZV 308,test
AZV 397,train
AZV 437,test
BD+14 3887,train
BD+30 3526,validation
BD+35 1169,train
BD+36 3956B,validation
BD+36 4145,train
BD+37 1292,train
BD+38 4093,test
BD+40 4353,test
BD+413731,validation
BD+42 4162,train
BD+44 3475,train
BD+44 3594,test
BD+46 2948,train
BD+46 3022,test
BD+46 3087,train
BD+47 3148,train
BD+47 3302,train
BD+471108,train
BD+49 2768,test
BD+49 3615,test
BD+50 3180,test
BD+50 3194,train
BD+50 3495,train
BD+50 395,train
BD+50 447,test
BD+53 2790,train
BD+53 2964,train
BD+54 2399,train
BD+54 2676,validation
BD+54 2718,train
BD+54 2887,train
BD+55 521,validation
BD+55 81,validation
BD+550521,train
BD+55880,train
BD+56 251,train
BD+56 259,test
BD+56 2626,train
BD+56 2811,train
BD+56 489,validation
BD+56 493,train
BD+56 509,train
BD+56 511,train
BD+56 534,train
BD+56 573,train
BD+56 579,train
BD+56 582,train
BD+56 612,validation
BD+56 624,train
BD+56 727,train
BD+57 243,train
BD+57 2678,train
BD+57 334,train
BD+57 515,train
BD+57 607A,train
BD+572615,train
BD+58 247,validation
BD+58 277,train
BD+58 458,train
BD+58 492,train
BD+58 610,test
BD+59 246,train
BD+59 250,train
BD+59 2829,train
BD+59 343,validation
BD+59 497,test
BD+60 114,train
BD+60 180,train
BD+60 2405,train
BD+60 2584,train
BD+60 2600,train
BD+60 274,validation
BD+60 307,train
BD+60 340,train
BD+60 368,train
BD+60 393,test
BD+61 105,test
BD+61 122,train
BD+61 2292,train
BD+61 2355,train
BD+61 2380,train
BD+61 2494,test
BD+61 371,train
BD+61 39,train
BD+62 1,validation
BD+62 11,train
BD+62 2158,train
BD+62 2346,test
BD+62 245,train
BD+62 261,train
BD+62 271,train
BD+62 285,train
BD+62 287,train
BD+62 300,validation
BD+62 89,train
BD+62 99,train
BD+63 124,train
BD+63 261,train
BD+63 48,train
BD+65 1970,validation
BD+66 64,train
BD+69 48,train
BD05 4819,train
BD06 1895,train
BD09 4713,train
BD094858,train
BD10 2073,train
BD10 2133,train
BD11 2043,train
BD13 1825,train
BD13 2040,train
BD13 4933,validation
BD13 5073,train
BD14 1751,validation
BD14 5047,test
BD15 5090,train
BD20 2183,train
BD21 1449,train
BET CMI,train
BET CYG B,train
BET HYA,train
BET LYR,train
BET MON A,validation
BET PSC,train
BET SCL,train
BF ORI,train
BG PHE,validation
BI 156,train
BK CAM,train
BT CMI,train
BZ CRU,train
CD22 12093,train
CD30 5079,train
