star_name,n_spectra,n_single,n_echelle_orders,ra_deg,dec_deg,mjd_min,mjd_max,median_snr,amateur_frac,time_span_days,split
10 CAS,304,59,245,1.61058678,64.1961689,49239.02195601852,60982.91561921296,174.26173588874565,0.7796052631578947,11743.9,train
10 CMA,153,9,144,101.1186119,-31.07052433,49349.13522476852,61026.725127314814,379.2340316517205,0.9869281045751634,11677.6,train
105 TAU,329,104,225,76.9809852,21.70482363,54386.17099537037,61021.85916356481,103.71012252455584,1.0,6635.7,test
11 CAM,430,66,364,76.53521493,58.97237189,54387.022997685184,60983.85023148148,182.42942575273065,0.9883720930232558,6596.8,test
11 CYG,284,41,243,293.95126733,36.94454052,51343.05694444444,60904.83277199074,120.43210153672491,0.9823943661971831,9561.8,train
12 AUR,584,47,537,79.1128471,46.4160642,54083.965995370374,60988.91541087963,117.21975074031683,0.9931506849315068,6904.9,test
12 VUL,2736,1368,1368,297.76711756,22.61004811,49920.9065625,61000.719293981485,393.05187640962475,0.998172514619883,11079.8,validation
120 TAU,385,97,288,83.38179818,18.54023076,49041.99045582176,61021.88836844907,294.4835693344519,0.9818181818181818,11979.9,test
13 TAU,447,49,398,55.57894623,19.70025573,48257.11028811921,60916.35737268518,177.931190108981,0.9888143176733781,12659.2,train
14 LAC,1378,141,1237,342.59072768,41.95339391,50977.082571412095,60995.8412962963,118.39507694937456,0.8984034833091437,10018.8,validation
141 TAU,4,4,0,90.42345606,22.40099536,60376.93232414352,60758.79711703704,344.6831554451108,1.0,381.9,validation
15 MON,2006,47,1959,100.24441512,9.89575637,48287.84035146991,60943.35514467592,170.6696746598683,0.19441674975074777,12655.5,test
16 PEG,1816,61,1755,328.2657011,25.92513615,49617.61058351273,61023.83324652778,194.07187669658072,0.21916299559471367,11406.2,train
17 SEX,755,202,553,152.53141493,-8.40816541,48423.82050691551,60744.27342013889,171.02149225065912,0.8993377483443709,12320.5,validation
17 TAU,700,135,565,56.21890368,24.11333645,48311.86319444444,61020.854913194446,283.37323107740946,0.8871428571428571,12709.0,train
18 AND,564,49,515,354.78471705,50.47173272,52128.053935185184,61010.92963254629,156.3728932942958,0.9929078014184397,8882.9,train
19 MON,3065,38,3027,105.728236,-4.239231,49313.185472471065,60960.18318512732,157.7537955583317,0.04632952691680261,11647.0,train
2 CET,246,41,205,0.93494934,-17.3359922,52283.79236111111,60915.36935763889,380.6228458973128,0.991869918699187,8631.6,validation
2 ORI,362,118,244,72.65301243,8.90018037,54080.97200231482,61023.03337384259,401.3139837689039,0.9917127071823204,6942.1,train
20 VUL,272,54,218,303.00292203,26.47880657,52079.093935185185,60824.13273350694,124.7512411173901,0.9816176470588235,8745.0,train
228 ERI,315,52,263,67.27885559,-13.04836762,48230.355866394675,60916.30501736111,301.8094812887668,0.9174603174603174,12685.9,train
23 TAU,823,126,697,56.58155768,23.9483559,48311.88055555556,60983.90690393518,276.36780461780586,0.9015795868772782,12672.0,train
25 CYG,1849,641,1208,299.97998237,37.04288592,49921.912152777775,61006.84030081019,180.714351606136,0.9929691725256896,11084.9,test
25 ORI,645,76,569,81.18677766,1.84644553,49440.0618030787,61023.91186921296,241.5707146647934,0.9906976744186047,11583.9,train
25 PEG,375,63,312,331.95959987,21.70292552,48767.708151325234,60882.88612847222,190.49953014855035,0.9866666666666667,12115.2,train
25 VUL,299,43,256,305.51429342,24.44609927,52081.080671296295,60897.88041087963,133.65231665865363,0.9832775919732442,8816.8,train
27 CMA,271,10,261,108.56338299,-26.35250867,47928.32770585648,60954.32157407407,501.05524589181164,0.988929889298893,13026.0,train
28 CYG,3837,1405,2432,302.3567462,36.8396217,49920.94201388889,61006.86993155093,328.4201670973563,0.997393797237425,11085.9,validation
29 DOR,147,4,143,84.22908035,-66.56028647,56612.45615740741,61021.634409722225,276.4043919749849,1.0,4409.2,train
31 PEG,1433,88,1345,335.37947961,12.20518412,49922.03472222222,60980.76338538194,186.4866137951323,0.5408234473133287,11058.7,train
39 CRU,152,4,148,190.48570127,-59.68581972,48739.80299589699,60741.23065972222,517.9321273312617,0.9868421052631579,12001.4,validation
4 AQL,403,66,337,281.20807583,2.06003779,52064.998935185184,60931.14361111111,222.64612546448947,0.7270471464019851,8866.1,train
